PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240415,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,63300,1,kg,10.0,kg,N,20240430070532
20240416,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,63300,1,kg,10.0,kg,N,20240501070528
20240416,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240501070528
20240417,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,63300,1,kg,10.0,kg,N,20240502070559
20240417,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240502070559
20240418,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,63300,1,kg,10.0,kg,N,20240503070523
20240418,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240503070523
20240419,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,63300,1,kg,10.0,kg,N,20240504070522
20240419,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240504070522
20240422,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,63300,1,kg,10.0,kg,N,20240507070525
20240422,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240507070525
20240423,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240508070624
20240423,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240508070624
20240424,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240509070535
20240424,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240509070535
20240425,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240510070557
20240425,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240510070557
20240426,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240511070530
20240426,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240511070530
20240429,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240514070607
20240429,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240514070607
20240430,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240515070520
20240430,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240515070520
20240502,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240517070526
20240502,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240517070526
20240503,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240518070528
20240503,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240518070528
